Time	Signal1
0	0,141931
1	0,142618
2	0,142017
3	0,142834
4	0,142911
5	0,143236
6	0,143376
7	0,144298
8	0,143924
9	0,143555
10	0,143781
11	0,143893
12	0,144003
13	0,144822
14	0,143463
15	0,144669
16	0,144479
17	0,149923
18	0,170731
19	0,216317
20	0,234384
21	0,243343
22	0,242931
23	0,236525
24	0,23096
25	0,228858
26	0,233926
27	0,237614
28	0,242705
29	0,239189
30	0,234585
31	0,233837
32	0,234229
33	0,231009
34	0,228481
35	0,225221
36	0,223103
37	0,221637
38	0,221528
39	0,2186
40	0,218127
41	0,218231
42	0,217025
43	0,216714
44	0,216368
45	0,217341
46	0,217335
47	0,218028
48	0,218244
49	0,219524
50	0,220973
51	0,222546
52	0,224478
53	0,225791
54	0,228176
55	0,230502
56	0,234094
57	0,236217
58	0,240686
59	0,243873
60	0,247815
61	0,252104
62	0,257623
63	0,263953
64	0,271171
65	0,276855
66	0,283447
67	0,291216
68	0,301165
69	0,312161
70	0,323765
71	0,334824
72	0,34496
73	0,356638
74	0,373093
75	0,390154
76	0,409313
77	0,426025
78	0,44144
79	0,459147
80	0,481818
81	0,504988
82	0,530749
83	0,552743
84	0,56884
85	0,585109
86	0,603644
87	0,622574
88	0,640012
89	0,649121
90	0,650356
91	0,647625
92	0,641928
93	0,634486
94	0,623327
95	0,610476
96	0,595868
97	0,581925
98	0,563146
99	0,542748
100	0,519199
101	0,499004
102	0,486329
103	0,47346
104	0,456088
105	0,437156
106	0,41634
107	0,399872
108	0,389006
109	0,378336
110	0,365658
111	0,352132
112	0,337207
113	0,325702
114	0,320275
115	0,313642
116	0,30595
117	0,298974
118	0,290961
119	0,285618
120	0,285349
121	0,28249
122	0,280311
123	0,278171
124	0,278644
125	0,2781
126	0,279891
127	0,28023
128	0,282495
129	0,284916
130	0,286453
131	0,288601
132	0,290108
133	0,291012
134	0,291414
135	0,292453
136	0,292804
137	0,291516
138	0,289777
139	0,288759
140	0,286219
141	0,284073
142	0,281935
143	0,278922
144	0,277158
145	0,275175
146	0,271749
147	0,26899
148	0,266401
149	0,263316
150	0,261583
151	0,258933
152	0,256607
153	0,253016
154	0,251219
155	0,249523
156	0,247731
157	0,244776
158	0,244423
159	0,241195
160	0,239737
161	0,238484
162	0,236878
163	0,235168
164	0,234025
165	0,233849
166	0,233414
167	0,232457
168	0,232757
169	0,232864
170	0,233228
171	0,233862
172	0,236033
173	0,237151
174	0,23808
175	0,239439
176	0,24173
177	0,243575
178	0,245341
179	0,245858
180	0,244932
181	0,247085
182	0,247164
183	0,247818
184	0,246418
185	0,246186
186	0,24386
187	0,243007
188	0,241391
189	0,240029
190	0,239141
191	0,237456
192	0,236155
193	0,233625
194	0,233058
195	0,232363
196	0,231029
197	0,230217
198	0,229059
199	0,229133
200	0,228056
201	0,228064
202	0,227247
203	0,228077
204	0,228756
205	0,229594
206	0,230253
207	0,232185
208	0,233246
209	0,235947
210	0,237148
211	0,239195
212	0,241781
213	0,245329
214	0,24793
215	0,251603
216	0,255543
217	0,259896
218	0,264383
219	0,269995
220	0,275292
221	0,280922
222	0,286825
223	0,292562
224	0,299671
225	0,307012
226	0,314098
227	0,322719
228	0,330049
229	0,338558
230	0,347597
231	0,358452
232	0,369962
233	0,380105
234	0,391661
235	0,405014
236	0,419265
237	0,435058
238	0,451147
239	0,466857
240	0,485708
241	0,506388
242	0,526071
243	0,547312
244	0,570586
245	0,593471
246	0,618542
247	0,642654
