"Time","Signal"
0,0.074004
1,0.074248
2,0.074198
3,0.073632
4,0.074518
5,0.073039
6,0.073999
7,0.073538
8,0.07376
9,0.072693
10,0.073238
11,0.073289
12,0.072668
13,0.072828
14,0.072278
15,0.072645
16,0.07181
17,0.073411
18,0.07533
19,0.084369
20,0.097955
21,0.105851
22,0.107455
23,0.111079
24,0.114818
25,0.114711
26,0.1127
27,0.112726
28,0.112408
29,0.115745
30,0.118957
31,0.121617
32,0.125427
33,0.130024
34,0.135107
35,0.13925
36,0.146352
37,0.153453
38,0.160845
39,0.169529
40,0.177723
41,0.186843
42,0.196836
43,0.207732
44,0.21928
45,0.233944
46,0.249401
47,0.262314
48,0.277814
49,0.29596
50,0.313714
51,0.334142
52,0.354001
53,0.376331
54,0.395278
55,0.417302
56,0.441732
57,0.467519
58,0.493112
59,0.511978
60,0.532966
61,0.557409
62,0.584236
63,0.611436
64,0.645703
65,0.685499
66,0.71366
67,0.744115
68,0.774765
69,0.810071
70,0.840411
71,0.871357
72,0.898203
73,0.921882
74,0.944571
75,0.966259
76,0.985372
77,0.992522
78,0.99016
79,0.980434
80,0.965409
81,0.939554
82,0.903062
83,0.857501
84,0.813062
85,0.769652
86,0.726127
87,0.680093
88,0.630235
89,0.587975
90,0.551896
91,0.517781
92,0.483348
93,0.451555
94,0.41986
95,0.391725
96,0.370095
97,0.352048
98,0.33404
99,0.31677
100,0.303247
101,0.288431
102,0.276328
103,0.265798
104,0.256146
105,0.246769
106,0.239179
107,0.232694
108,0.226641
109,0.221599
110,0.217147
111,0.212563
112,0.209328
113,0.20776
114,0.205932
115,0.205138
116,0.203026
117,0.201875
118,0.203731
119,0.204225
120,0.203878
121,0.205925
122,0.205502
123,0.206106
124,0.206943
125,0.207852
126,0.207172
127,0.206467
128,0.204617
129,0.203199
130,0.201071
131,0.199969
132,0.197434
133,0.19358
134,0.189744
135,0.186069
136,0.182778
137,0.179003
138,0.174684
139,0.171925
140,0.169099
141,0.165864
142,0.164902
143,0.162845
144,0.159404
145,0.158513
146,0.154726
147,0.154018
148,0.152878
149,0.152084
150,0.150653
151,0.150198
152,0.149121
153,0.148218
154,0.148798
155,0.147726
156,0.149595
157,0.150921
158,0.151509
159,0.152789
160,0.154606
161,0.156721
162,0.160466
163,0.163808
164,0.168033
165,0.170965
166,0.175547
167,0.179421
168,0.185822
169,0.190661
170,0.195825
171,0.200684
172,0.203545
173,0.206368
174,0.208888
175,0.211873
176,0.212339
177,0.211331
178,0.20875
179,0.208279
180,0.204225
181,0.198711
182,0.194026
183,0.189966
184,0.18797
185,0.182577
186,0.179006
187,0.173851
188,0.171853
189,0.168687
190,0.165844
191,0.163561
192,0.161326
193,0.160046
194,0.158832
195,0.157747
196,0.156574
197,0.156284
198,0.156615
199,0.156699
200,0.157831
201,0.158119
202,0.158378
203,0.161815
204,0.163314
205,0.163222
206,0.165933
207,0.168399
208,0.170759
209,0.172714
210,0.175865
211,0.179512
212,0.182862
213,0.185707
214,0.188551
215,0.192038
216,0.195535
217,0.199625
218,0.206411
219,0.209982
220,0.214182
221,0.219748
222,0.224801
223,0.232442
224,0.237815
225,0.244066
226,0.250916
227,0.256039
228,0.264223
229,0.270991
230,0.280072
231,0.28795
232,0.298622
233,0.308605
234,0.320212
235,0.33264
236,0.34865
237,0.36436
238,0.382554
239,0.405263
240,0.427417
241,0.451776
242,0.48011
243,0.508872
244,0.5406
245,0.577303
246,0.614531
247,0.652143
248,0.688574
249,0.728629
250,0.770362
251,0.81211
252,0.852484
253,0.889841
254,0.921143
255,0.949116
