"Time","Signal"
0,0.074612
1,0.074246
2,0.074773
3,0.074236
4,0.074068
5,0.075183
6,0.074121
7,0.07422
8,0.073974
9,0.074523
10,0.074584
11,0.074192
12,0.07389
13,0.07406
14,0.074279
15,0.074587
16,0.07375
17,0.076089
18,0.079347
19,0.089663
20,0.102122
21,0.103614
22,0.102046
23,0.101781
24,0.103061
25,0.105991
26,0.106546
27,0.109829
28,0.112845
29,0.113319
30,0.11565
31,0.118183
32,0.119647
33,0.123946
34,0.125567
35,0.12979
36,0.132085
37,0.136542
38,0.141088
39,0.146197
40,0.151817
41,0.158572
42,0.166445
43,0.173872
44,0.180658
45,0.191437
46,0.201096
47,0.210939
48,0.222765
49,0.235371
50,0.247889
51,0.261265
52,0.278904
53,0.293832
54,0.311326
55,0.327787
56,0.348541
57,0.369298
58,0.38963
59,0.411331
60,0.431228
61,0.453184
62,0.474437
63,0.497984
64,0.521792
65,0.544476
66,0.567504
67,0.589131
68,0.613632
69,0.641386
70,0.669237
71,0.691473
72,0.713688
73,0.736789
74,0.761797
75,0.782628
76,0.800478
77,0.810988
78,0.817257
79,0.814905
80,0.807602
81,0.794064
82,0.773541
83,0.751374
84,0.725333
85,0.696383
86,0.664167
87,0.633893
88,0.602952
89,0.578802
90,0.55763
91,0.531668
92,0.508376
93,0.486352
94,0.465724
95,0.45029
96,0.436301
97,0.422039
98,0.408139
99,0.392664
100,0.380449
101,0.372406
102,0.363787
103,0.354003
104,0.348253
105,0.340353
106,0.333473
107,0.329405
108,0.326015
109,0.323335
110,0.318835
111,0.317885
112,0.316865
113,0.316552
114,0.317944
115,0.320301
116,0.322304
117,0.325511
118,0.327
119,0.329861
120,0.334081
121,0.336929
122,0.339016
123,0.341768
124,0.342689
125,0.343119
126,0.341368
127,0.342091
128,0.337818
129,0.334252
130,0.331352
131,0.327
132,0.322362
133,0.317921
134,0.312291
135,0.304802
136,0.298915
137,0.29425
138,0.290182
139,0.283633
140,0.278056
141,0.27165
142,0.267213
143,0.262777
144,0.258806
145,0.255556
146,0.25142
147,0.247566
148,0.244061
149,0.241765
150,0.237998
151,0.234552
152,0.231464
153,0.227932
154,0.227506
155,0.223304
156,0.221645
157,0.218634
158,0.217587
159,0.215577
160,0.214307
161,0.213283
162,0.211112
163,0.212665
164,0.214006
165,0.212767
166,0.213418
167,0.215404
168,0.217274
169,0.219115
170,0.220431
171,0.221067
172,0.222197
173,0.223574
174,0.223785
175,0.224134
176,0.223342
177,0.22179
178,0.221161
179,0.216806
180,0.214312
181,0.210756
182,0.207271
183,0.20216
184,0.200096
185,0.196398
186,0.190047
187,0.186189
188,0.183137
189,0.179657
190,0.175885
191,0.17182
192,0.16944
193,0.16649
194,0.164607
195,0.162512
196,0.160033
197,0.158333
198,0.158585
199,0.155917
200,0.156383
201,0.15371
202,0.154395
203,0.154031
204,0.153441
205,0.154489
206,0.154372
207,0.154726
208,0.155337
209,0.156485
210,0.158185
211,0.158608
212,0.160509
213,0.164688
214,0.166997
215,0.168206
216,0.172701
217,0.175608
218,0.178917
219,0.183091
220,0.186866
221,0.191562
222,0.197688
223,0.201364
224,0.206503
225,0.211794
226,0.220733
227,0.225753
228,0.23474
229,0.243066
230,0.251412
231,0.260705
232,0.272762
233,0.285972
234,0.300234
235,0.315958
236,0.332841
237,0.351967
238,0.372054
239,0.397989
240,0.424989
241,0.454601
242,0.483903
243,0.516877
244,0.550432
245,0.58839
246,0.630334
247,0.67153
248,0.711833
249,0.753074
250,0.79074
