"Time","Signal"
0,0.145207
1,0.146836
2,0.147024
3,0.147357
4,0.147451
5,0.14764
6,0.146507
7,0.147828
8,0.148622
9,0.146897
10,0.14723
11,0.147614
12,0.148034
13,0.147798
14,0.14708
15,0.146988
16,0.148548
17,0.148042
18,0.151977
19,0.160682
20,0.178474
21,0.176997
22,0.169904
23,0.173719
24,0.177909
25,0.184104
26,0.183269
27,0.18274
28,0.184636
29,0.185585
30,0.184007
31,0.184941
32,0.185163
33,0.184911
34,0.1857
35,0.187349
36,0.188291
37,0.187652
38,0.189948
39,0.19163
40,0.192562
41,0.193524
42,0.196102
43,0.19763
44,0.199638
45,0.203
46,0.205309
47,0.206475
48,0.210959
49,0.214205
50,0.218315
51,0.223671
52,0.227891
53,0.233099
54,0.239192
55,0.246851
56,0.254706
57,0.265017
58,0.272421
59,0.282363
60,0.291378
61,0.305286
62,0.319392
63,0.334089
64,0.345744
65,0.361087
66,0.37783
67,0.397317
68,0.418636
69,0.43684
70,0.452122
71,0.46773
72,0.485848
73,0.501328
74,0.516615
75,0.529187
76,0.533071
77,0.537123
78,0.537843
79,0.537034
80,0.531681
81,0.525297
82,0.517094
83,0.506946
84,0.498564
85,0.490528
86,0.482124
87,0.473396
88,0.465971
89,0.460799
90,0.455943
91,0.450132
92,0.446263
93,0.443909
94,0.442402
95,0.442269
96,0.440493
97,0.442705
98,0.44483
99,0.44665
100,0.449516
101,0.453769
102,0.461985
103,0.469224
104,0.479772
105,0.490376
106,0.499987
107,0.515236
108,0.530757
109,0.54944
110,0.571818
111,0.591827
112,0.611245
113,0.637237
114,0.666732
115,0.695914
116,0.722324
117,0.745275
118,0.766898
119,0.789849
120,0.810392
121,0.825908
122,0.833313
123,0.835741
124,0.832109
125,0.828143
126,0.816213
127,0.801947
128,0.784415
129,0.76688
130,0.747154
131,0.725705
132,0.699653
133,0.674946
134,0.652015
135,0.633592
136,0.613464
137,0.592226
138,0.570517
139,0.549422
140,0.532615
141,0.518804
142,0.506444
143,0.490915
144,0.476998
145,0.463851
146,0.452351
147,0.444993
148,0.435392
149,0.42646
150,0.415729
151,0.409193
152,0.401382
153,0.3971
154,0.390699
155,0.385468
156,0.38232
157,0.377048
158,0.378425
159,0.376471
160,0.376389
161,0.376552
162,0.378418
163,0.380757
164,0.384269
165,0.38601
166,0.389681
167,0.395795
168,0.399579
169,0.403713
170,0.407653
171,0.409603
172,0.411387
173,0.412713
174,0.412685
175,0.411703
176,0.409007
177,0.40594
178,0.399572
179,0.395306
180,0.387759
181,0.379662
182,0.371866
183,0.364098
184,0.354573
185,0.345023
186,0.335972
187,0.32617
188,0.317437
189,0.309674
190,0.301163
191,0.293471
192,0.283267
193,0.275613
194,0.268707
195,0.264383
196,0.257826
197,0.252038
198,0.246673
199,0.242264
200,0.239169
201,0.236351
202,0.233132
203,0.230731
204,0.228822
205,0.228133
206,0.227321
207,0.227593
208,0.227214
209,0.226555
210,0.228222
211,0.228957
212,0.2304
213,0.232432
214,0.233755
215,0.237265
216,0.239569
217,0.243422
218,0.247658
219,0.252066
220,0.255879
221,0.261143
222,0.267554
223,0.272401
224,0.278616
225,0.284743
226,0.291704
227,0.299577
228,0.307951
229,0.317903
230,0.327573
231,0.336479
232,0.34791
233,0.36349
234,0.377967
235,0.393209
236,0.409353
237,0.426891
238,0.447144
239,0.470464
240,0.494507
241,0.520723
242,0.548353
243,0.573358
244,0.604293
245,0.634804
246,0.669715
247,0.703273
248,0.733898
249,0.764638
250,0.795281
251,0.825338
252,0.854724
