"Time"	"Signal"	"Strain"	"Sample"	"Date"
0	0.071021	"ybeX"	"37C"	"2021-12-03"
1	0.07168	"ybeX"	"37C"	"2021-12-03"
2	0.071085	"ybeX"	"37C"	"2021-12-03"
3	0.071161	"ybeX"	"37C"	"2021-12-03"
4	0.071624	"ybeX"	"37C"	"2021-12-03"
5	0.070825	"ybeX"	"37C"	"2021-12-03"
6	0.070644	"ybeX"	"37C"	"2021-12-03"
7	0.071606	"ybeX"	"37C"	"2021-12-03"
8	0.071207	"ybeX"	"37C"	"2021-12-03"
9	0.071202	"ybeX"	"37C"	"2021-12-03"
10	0.07113	"ybeX"	"37C"	"2021-12-03"
11	0.072645	"ybeX"	"37C"	"2021-12-03"
12	0.070621	"ybeX"	"37C"	"2021-12-03"
13	0.071563	"ybeX"	"37C"	"2021-12-03"
14	0.070838	"ybeX"	"37C"	"2021-12-03"
15	0.071543	"ybeX"	"37C"	"2021-12-03"
16	0.07361	"ybeX"	"37C"	"2021-12-03"
17	0.074442	"ybeX"	"37C"	"2021-12-03"
18	0.078222	"ybeX"	"37C"	"2021-12-03"
19	0.090597	"ybeX"	"37C"	"2021-12-03"
20	0.103059	"ybeX"	"37C"	"2021-12-03"
21	0.103603	"ybeX"	"37C"	"2021-12-03"
22	0.105792	"ybeX"	"37C"	"2021-12-03"
23	0.107373	"ybeX"	"37C"	"2021-12-03"
24	0.110667	"ybeX"	"37C"	"2021-12-03"
25	0.110723	"ybeX"	"37C"	"2021-12-03"
26	0.111603	"ybeX"	"37C"	"2021-12-03"
27	0.113932	"ybeX"	"37C"	"2021-12-03"
28	0.114642	"ybeX"	"37C"	"2021-12-03"
29	0.113696	"ybeX"	"37C"	"2021-12-03"
30	0.113197	"ybeX"	"37C"	"2021-12-03"
31	0.113566	"ybeX"	"37C"	"2021-12-03"
32	0.115027	"ybeX"	"37C"	"2021-12-03"
33	0.115574	"ybeX"	"37C"	"2021-12-03"
34	0.116798	"ybeX"	"37C"	"2021-12-03"
35	0.117671	"ybeX"	"37C"	"2021-12-03"
36	0.119725	"ybeX"	"37C"	"2021-12-03"
37	0.121917	"ybeX"	"37C"	"2021-12-03"
38	0.124544	"ybeX"	"37C"	"2021-12-03"
39	0.127649	"ybeX"	"37C"	"2021-12-03"
40	0.131388	"ybeX"	"37C"	"2021-12-03"
41	0.136591	"ybeX"	"37C"	"2021-12-03"
42	0.141045	"ybeX"	"37C"	"2021-12-03"
43	0.14665	"ybeX"	"37C"	"2021-12-03"
44	0.152652	"ybeX"	"37C"	"2021-12-03"
45	0.159794	"ybeX"	"37C"	"2021-12-03"
46	0.167455	"ybeX"	"37C"	"2021-12-03"
47	0.176679	"ybeX"	"37C"	"2021-12-03"
48	0.185074	"ybeX"	"37C"	"2021-12-03"
49	0.192063	"ybeX"	"37C"	"2021-12-03"
50	0.203891	"ybeX"	"37C"	"2021-12-03"
51	0.21452	"ybeX"	"37C"	"2021-12-03"
52	0.225374	"ybeX"	"37C"	"2021-12-03"
53	0.239996	"ybeX"	"37C"	"2021-12-03"
54	0.253339	"ybeX"	"37C"	"2021-12-03"
55	0.268313	"ybeX"	"37C"	"2021-12-03"
56	0.284015	"ybeX"	"37C"	"2021-12-03"
57	0.300928	"ybeX"	"37C"	"2021-12-03"
58	0.32068	"ybeX"	"37C"	"2021-12-03"
59	0.339322	"ybeX"	"37C"	"2021-12-03"
60	0.35762	"ybeX"	"37C"	"2021-12-03"
61	0.375867	"ybeX"	"37C"	"2021-12-03"
62	0.396869	"ybeX"	"37C"	"2021-12-03"
63	0.419041	"ybeX"	"37C"	"2021-12-03"
64	0.4419	"ybeX"	"37C"	"2021-12-03"
65	0.467628	"ybeX"	"37C"	"2021-12-03"
66	0.490564	"ybeX"	"37C"	"2021-12-03"
67	0.512441	"ybeX"	"37C"	"2021-12-03"
68	0.536173	"ybeX"	"37C"	"2021-12-03"
69	0.561586	"ybeX"	"37C"	"2021-12-03"
70	0.58908	"ybeX"	"37C"	"2021-12-03"
71	0.617208	"ybeX"	"37C"	"2021-12-03"
72	0.641648	"ybeX"	"37C"	"2021-12-03"
73	0.668181	"ybeX"	"37C"	"2021-12-03"
74	0.69832	"ybeX"	"37C"	"2021-12-03"
75	0.727845	"ybeX"	"37C"	"2021-12-03"
76	0.759898	"ybeX"	"37C"	"2021-12-03"
77	0.790241	"ybeX"	"37C"	"2021-12-03"
78	0.818081	"ybeX"	"37C"	"2021-12-03"
79	0.844782	"ybeX"	"37C"	"2021-12-03"
80	0.871703	"ybeX"	"37C"	"2021-12-03"
81	0.8923	"ybeX"	"37C"	"2021-12-03"
82	0.907259	"ybeX"	"37C"	"2021-12-03"
83	0.916511	"ybeX"	"37C"	"2021-12-03"
84	0.911181	"ybeX"	"37C"	"2021-12-03"
85	0.899045	"ybeX"	"37C"	"2021-12-03"
86	0.876361	"ybeX"	"37C"	"2021-12-03"
87	0.848956	"ybeX"	"37C"	"2021-12-03"
88	0.816162	"ybeX"	"37C"	"2021-12-03"
89	0.781019	"ybeX"	"37C"	"2021-12-03"
90	0.742267	"ybeX"	"37C"	"2021-12-03"
91	0.703006	"ybeX"	"37C"	"2021-12-03"
92	0.664347	"ybeX"	"37C"	"2021-12-03"
93	0.625208	"ybeX"	"37C"	"2021-12-03"
94	0.586122	"ybeX"	"37C"	"2021-12-03"
95	0.552471	"ybeX"	"37C"	"2021-12-03"
96	0.52223	"ybeX"	"37C"	"2021-12-03"
97	0.493038	"ybeX"	"37C"	"2021-12-03"
98	0.463943	"ybeX"	"37C"	"2021-12-03"
99	0.438599	"ybeX"	"37C"	"2021-12-03"
100	0.413342	"ybeX"	"37C"	"2021-12-03"
101	0.392109	"ybeX"	"37C"	"2021-12-03"
102	0.375002	"ybeX"	"37C"	"2021-12-03"
103	0.356454	"ybeX"	"37C"	"2021-12-03"
104	0.339258	"ybeX"	"37C"	"2021-12-03"
105	0.324742	"ybeX"	"37C"	"2021-12-03"
106	0.309679	"ybeX"	"37C"	"2021-12-03"
107	0.298755	"ybeX"	"37C"	"2021-12-03"
108	0.289207	"ybeX"	"37C"	"2021-12-03"
109	0.2794	"ybeX"	"37C"	"2021-12-03"
110	0.271426	"ybeX"	"37C"	"2021-12-03"
111	0.260723	"ybeX"	"37C"	"2021-12-03"
112	0.253385	"ybeX"	"37C"	"2021-12-03"
113	0.248037	"ybeX"	"37C"	"2021-12-03"
114	0.243733	"ybeX"	"37C"	"2021-12-03"
115	0.238762	"ybeX"	"37C"	"2021-12-03"
116	0.234873	"ybeX"	"37C"	"2021-12-03"
117	0.232343	"ybeX"	"37C"	"2021-12-03"
118	0.228817	"ybeX"	"37C"	"2021-12-03"
119	0.228764	"ybeX"	"37C"	"2021-12-03"
120	0.227697	"ybeX"	"37C"	"2021-12-03"
121	0.226957	"ybeX"	"37C"	"2021-12-03"
122	0.227341	"ybeX"	"37C"	"2021-12-03"
123	0.227904	"ybeX"	"37C"	"2021-12-03"
124	0.228097	"ybeX"	"37C"	"2021-12-03"
125	0.229036	"ybeX"	"37C"	"2021-12-03"
126	0.231439	"ybeX"	"37C"	"2021-12-03"
127	0.230823	"ybeX"	"37C"	"2021-12-03"
128	0.23162	"ybeX"	"37C"	"2021-12-03"
129	0.232332	"ybeX"	"37C"	"2021-12-03"
130	0.230859	"ybeX"	"37C"	"2021-12-03"
131	0.231047	"ybeX"	"37C"	"2021-12-03"
132	0.229693	"ybeX"	"37C"	"2021-12-03"
133	0.229342	"ybeX"	"37C"	"2021-12-03"
134	0.226921	"ybeX"	"37C"	"2021-12-03"
135	0.225829	"ybeX"	"37C"	"2021-12-03"
136	0.221884	"ybeX"	"37C"	"2021-12-03"
137	0.219804	"ybeX"	"37C"	"2021-12-03"
138	0.216786	"ybeX"	"37C"	"2021-12-03"
139	0.213095	"ybeX"	"37C"	"2021-12-03"
140	0.210769	"ybeX"	"37C"	"2021-12-03"
141	0.209269	"ybeX"	"37C"	"2021-12-03"
142	0.206495	"ybeX"	"37C"	"2021-12-03"
143	0.2041	"ybeX"	"37C"	"2021-12-03"
144	0.201857	"ybeX"	"37C"	"2021-12-03"
145	0.198918	"ybeX"	"37C"	"2021-12-03"
146	0.19721	"ybeX"	"37C"	"2021-12-03"
147	0.194891	"ybeX"	"37C"	"2021-12-03"
148	0.19274	"ybeX"	"37C"	"2021-12-03"
149	0.191088	"ybeX"	"37C"	"2021-12-03"
150	0.19008	"ybeX"	"37C"	"2021-12-03"
151	0.187507	"ybeX"	"37C"	"2021-12-03"
152	0.185603	"ybeX"	"37C"	"2021-12-03"
153	0.181523	"ybeX"	"37C"	"2021-12-03"
154	0.179652	"ybeX"	"37C"	"2021-12-03"
155	0.177817	"ybeX"	"37C"	"2021-12-03"
156	0.177219	"ybeX"	"37C"	"2021-12-03"
157	0.174801	"ybeX"	"37C"	"2021-12-03"
158	0.174483	"ybeX"	"37C"	"2021-12-03"
159	0.170884	"ybeX"	"37C"	"2021-12-03"
160	0.170634	"ybeX"	"37C"	"2021-12-03"
161	0.170565	"ybeX"	"37C"	"2021-12-03"
162	0.168707	"ybeX"	"37C"	"2021-12-03"
163	0.16748	"ybeX"	"37C"	"2021-12-03"
164	0.167282	"ybeX"	"37C"	"2021-12-03"
165	0.167941	"ybeX"	"37C"	"2021-12-03"
166	0.167195	"ybeX"	"37C"	"2021-12-03"
167	0.169295	"ybeX"	"37C"	"2021-12-03"
168	0.170731	"ybeX"	"37C"	"2021-12-03"
169	0.170983	"ybeX"	"37C"	"2021-12-03"
170	0.17422	"ybeX"	"37C"	"2021-12-03"
171	0.1763	"ybeX"	"37C"	"2021-12-03"
172	0.179006	"ybeX"	"37C"	"2021-12-03"
173	0.1808	"ybeX"	"37C"	"2021-12-03"
174	0.184109	"ybeX"	"37C"	"2021-12-03"
175	0.185949	"ybeX"	"37C"	"2021-12-03"
176	0.186942	"ybeX"	"37C"	"2021-12-03"
177	0.189131	"ybeX"	"37C"	"2021-12-03"
178	0.189347	"ybeX"	"37C"	"2021-12-03"
179	0.18896	"ybeX"	"37C"	"2021-12-03"
180	0.187314	"ybeX"	"37C"	"2021-12-03"
181	0.187622	"ybeX"	"37C"	"2021-12-03"
182	0.185239	"ybeX"	"37C"	"2021-12-03"
183	0.183195	"ybeX"	"37C"	"2021-12-03"
184	0.180772	"ybeX"	"37C"	"2021-12-03"
185	0.178082	"ybeX"	"37C"	"2021-12-03"
186	0.175852	"ybeX"	"37C"	"2021-12-03"
187	0.172171	"ybeX"	"37C"	"2021-12-03"
188	0.168608	"ybeX"	"37C"	"2021-12-03"
189	0.165055	"ybeX"	"37C"	"2021-12-03"
190	0.162502	"ybeX"	"37C"	"2021-12-03"
191	0.158641	"ybeX"	"37C"	"2021-12-03"
192	0.157032	"ybeX"	"37C"	"2021-12-03"
193	0.152802	"ybeX"	"37C"	"2021-12-03"
194	0.150709	"ybeX"	"37C"	"2021-12-03"
195	0.147052	"ybeX"	"37C"	"2021-12-03"
196	0.145171	"ybeX"	"37C"	"2021-12-03"
197	0.143323	"ybeX"	"37C"	"2021-12-03"
198	0.141915	"ybeX"	"37C"	"2021-12-03"
199	0.140966	"ybeX"	"37C"	"2021-12-03"
200	0.139637	"ybeX"	"37C"	"2021-12-03"
201	0.138866	"ybeX"	"37C"	"2021-12-03"
202	0.138421	"ybeX"	"37C"	"2021-12-03"
203	0.137863	"ybeX"	"37C"	"2021-12-03"
204	0.137265	"ybeX"	"37C"	"2021-12-03"
205	0.138029	"ybeX"	"37C"	"2021-12-03"
206	0.138059	"ybeX"	"37C"	"2021-12-03"
207	0.137275	"ybeX"	"37C"	"2021-12-03"
208	0.138642	"ybeX"	"37C"	"2021-12-03"
209	0.139683	"ybeX"	"37C"	"2021-12-03"
210	0.13962	"ybeX"	"37C"	"2021-12-03"
211	0.141411	"ybeX"	"37C"	"2021-12-03"
212	0.142417	"ybeX"	"37C"	"2021-12-03"
213	0.14332	"ybeX"	"37C"	"2021-12-03"
214	0.14653	"ybeX"	"37C"	"2021-12-03"
215	0.148477	"ybeX"	"37C"	"2021-12-03"
216	0.148673	"ybeX"	"37C"	"2021-12-03"
217	0.151361	"ybeX"	"37C"	"2021-12-03"
218	0.154818	"ybeX"	"37C"	"2021-12-03"
219	0.15605	"ybeX"	"37C"	"2021-12-03"
220	0.160323	"ybeX"	"37C"	"2021-12-03"
221	0.162616	"ybeX"	"37C"	"2021-12-03"
222	0.165363	"ybeX"	"37C"	"2021-12-03"
223	0.169104	"ybeX"	"37C"	"2021-12-03"
224	0.17252	"ybeX"	"37C"	"2021-12-03"
225	0.175068	"ybeX"	"37C"	"2021-12-03"
226	0.179744	"ybeX"	"37C"	"2021-12-03"
227	0.183093	"ybeX"	"37C"	"2021-12-03"
228	0.188563	"ybeX"	"37C"	"2021-12-03"
229	0.193934	"ybeX"	"37C"	"2021-12-03"
230	0.198605	"ybeX"	"37C"	"2021-12-03"
231	0.203889	"ybeX"	"37C"	"2021-12-03"
